Layers,Powder_Hight,SCanPowder_hight_delta,Entity_hight_delta,Entity_hight,,,
384,11.52,0.0600004,0.0300002,11.49,,,
385,11.55,0.0600004,0.0300002,11.52,,,
386,11.58,0.0599995,0.0299997,11.55,,,
387,11.61,0.0599995,0.0299997,11.58,,,
388,11.64,0.0600004,0.0300002,11.61,,,
389,11.67,0.0599995,0.0299997,11.64,,,
390,11.7,0.0599995,0.0299997,11.67,,,
391,11.73,0.0599995,0.0299997,11.7,,,
392,11.76,0.0600004,0.0300002,11.73,,,
393,11.79,0.0600004,0.0300002,11.76,,,
394,11.82,0.0599995,0.0299997,11.79,,,
395,11.85,0.0600004,0.0300002,11.82,,,
396,11.88,0.0600004,0.0300002,11.85,,,
397,11.91,0.0599995,0.0299997,11.88,,,
398,11.94,0.0599995,0.0299997,11.91,,,
399,11.97,0.0600004,0.0300002,11.94,,,
400,12,0.0599995,0.0299997,11.97,,,
